epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.5515417456626892,0.5864421129226685,0.6882235407829285,0.6768940687179565
2,0.6542771458625793,0.8748608231544495,0.6388351917266846,0.5294638872146606
3,0.9047470092773438,0.9166202545166016,0.3975934386253357,0.2939152717590332
4,0.924897313117981,0.9369432330131531,0.29161229729652405,0.23949871957302094
5,0.9357207417488098,0.9376391768455505,0.2613057792186737,0.23695780336856842
6,0.9266722202301025,0.896018922328949,0.2795981764793396,0.33129140734672546
7,0.919572651386261,0.93137526512146,0.2815156877040863,0.2419954538345337
8,0.9203730821609497,0.9381960034370422,0.2771538197994232,0.228654682636261
9,0.9411150813102722,0.9422327280044556,0.23765933513641357,0.21600833535194397
10,0.9362775683403015,0.9031180143356323,0.24089042842388153,0.2953904867172241
11,0.9117074012756348,0.9368039965629578,0.281551718711853,0.22290466725826263
12,0.9432031512260437,0.9484966397285461,0.22147008776664734,0.19781146943569183
13,0.9461613297462463,0.9362472295761108,0.21494480967521667,0.22004704177379608
14,0.9430291652679443,0.9455735087394714,0.21646784245967865,0.19780626893043518
15,0.9453260898590088,0.9301224946975708,0.21905983984470367,0.23564115166664124
16,0.9487366676330566,0.9537861943244934,0.2066679298877716,0.18477100133895874
17,0.9532609581947327,0.9537861943244934,0.1985519677400589,0.1819985806941986
18,0.953191339969635,0.9542037844657898,0.19843564927577972,0.1808949112892151
19,0.9534697532653809,0.9544821977615356,0.19807401299476624,0.17925965785980225
20,0.9508944153785706,0.9561525583267212,0.20200634002685547,0.1748671531677246
21,0.9557318687438965,0.9562917351722717,0.18639512360095978,0.17092669010162354
22,0.9561843276023865,0.956430971622467,0.18339641392230988,0.17261573672294617
23,0.9449780583381653,0.9342984557151794,0.21853236854076385,0.22443488240242004
24,0.9325885772705078,0.908268392086029,0.24023142457008362,0.2680211365222931
25,0.9106633067131042,0.9217705726623535,0.2772454619407654,0.24138808250427246
26,0.9269854426383972,0.9384744167327881,0.24867449700832367,0.2122904360294342
27,0.9374608397483826,0.9376391768455505,0.22418878972530365,0.21215581893920898
28,0.9250365495681763,0.9228841662406921,0.24959932267665863,0.23575806617736816
29,0.9350942969322205,0.9561525583267212,0.22928480803966522,0.17554797232151031
30,0.9551750421524048,0.9596325159072876,0.18924623727798462,0.16307586431503296
31,0.9549314379692078,0.947243869304657,0.18474851548671722,0.18681763112545013
32,0.949815571308136,0.9490534663200378,0.18586339056491852,0.17272105813026428
33,0.9508596062660217,0.9508630037307739,0.17657127976417542,0.16471537947654724
34,0.9528084993362427,0.9532294273376465,0.16933858394622803,0.16322049498558044
35,0.9562191367149353,0.9606069326400757,0.162911057472229,0.15334250032901764
